Hourly,kW,perc
22:00,0.181667,0.181667
23:00,0.063,0.063
0:00,0.062,0.062
1:00,0.055333,0.055333
2:00,0.058667,0.058667
3:00,0.053,0.053
4:00,0.108667,0.108667
5:00,0.130666,0.130666
6:00,0.092667,0.092667
7:00,0.120667,0.120667
8:00,0.076666,0.076666
9:00,0.072667,0.072667
10:00,0.079667,0.079667
11:00,0.078666,0.078666
12:00,0.076,0.076
13:00,0.089667,0.089667
14:00,0.088333,0.088333
15:00,0.088667,0.088667
16:00,0.122333,0.122333
17:00,0.182667,0.182667
18:00,0.143333,0.143333
19:00,0.131334,0.131334
20:00,0.086666,0.086666
21:00,0.134,0.134
22:00,0.129667,0.129667
23:00,0.093,0.093
0:00,0.059333,0.059333
1:00,0.053,0.053
2:00,0.057,0.057
3:00,0.132,0.132
4:00,0.115334,0.115334
5:00,0.084333,0.084333
6:00,0.078667,0.078667
7:00,0.093333,0.093333
8:00,0.092667,0.092667
9:00,0.093333,0.093333
10:00,0.114333,0.114333
11:00,0.077,0.077
12:00,0.080334,0.080334
13:00,0.082,0.082
14:00,0.086,0.086
15:00,0.070333,0.070333
16:00,0.080333,0.080333
17:00,0.083334,0.083334
18:00,0.140666,0.140666
19:00,0.097,0.097
20:00,0.194334,0.194334
21:00,0.163333,0.163333
22:00,0.062333,0.062333
23:00,0.063334,0.063334
0:00,0.063666,0.063666
1:00,0.062667,0.062667
2:00,0.052,0.052
3:00,0.230667,0.230667
4:00,0.112,0.112
5:00,0.088,0.088
6:00,0.106666,0.106666
7:00,0.082667,0.082667
8:00,0.078333,0.078333
9:00,0.082667,0.082667
10:00,0.079667,0.079667
11:00,0.081666,0.081666
12:00,0.076,0.076
13:00,0.078667,0.078667
14:00,0.079,0.079
15:00,0.079,0.079
16:00,0.079667,0.079667
17:00,0.113,0.113
18:00,0.114,0.114
19:00,0.106,0.106
20:00,0.245666,0.245666
21:00,0.262334,0.262334
22:00,0.132,0.132
23:00,0.075666,0.075666
0:00,0.061667,0.061667
1:00,0.061,0.061
2:00,0.058,0.058
3:00,0.052,0.052
4:00,0.073333,0.073333
5:00,0.147334,0.147334
6:00,0.083333,0.083333
7:00,0.068667,0.068667
8:00,0.076,0.076
9:00,0.074666,0.074666
10:00,0.068,0.068
11:00,0.07,0.07
12:00,0.073,0.073
13:00,0.247334,0.247334
14:00,0.071333,0.071333
15:00,0.072,0.072
16:00,0.306333,0.306333
17:00,0.108,0.108
18:00,0.153334,0.153334
19:00,0.11,0.11
20:00,0.11,0.11
21:00,0.058333,0.058333
22:00,0.062,0.062
23:00,0.082,0.082
0:00,0.117,0.117
1:00,0.066667,0.066667
2:00,0.060333,0.060333
3:00,0.053667,0.053667
4:00,0.137,0.137
5:00,0.105333,0.105333
6:00,0.074,0.074
7:00,0.059667,0.059667
8:00,0.066,0.066
9:00,0.093333,0.093333
10:00,0.065667,0.065667
11:00,0.070666,0.070666
12:00,0.225334,0.225334
13:00,0.065,0.065
14:00,0.069666,0.069666
15:00,0.063,0.063
16:00,0.093667,0.093667
17:00,0.244,0.244
18:00,0.193,0.193
19:00,0.108333,0.108333
20:00,0.069334,0.069334
21:00,0.166666,0.166666
22:00,0.074667,0.074667
23:00,0.069333,0.069333
0:00,0.067,0.067
1:00,0.062334,0.062334
2:00,0.056,0.056
3:00,0.063333,0.063333
4:00,0.061333,0.061333
5:00,0.065334,0.065334
6:00,0.058666,0.058666
7:00,0.093334,0.093334
8:00,0.168,0.168
9:00,0.113333,0.113333
10:00,0.126667,0.126667
11:00,0.139333,0.139333
12:00,0.278667,0.278667
13:00,0.151666,0.151666
14:00,0.125334,0.125334
15:00,0.180333,0.180333
16:00,0.125,0.125
17:00,0.164,0.164
18:00,0.138667,0.138667
19:00,0.141,0.141
20:00,0.128,0.128
21:00,0.089666,0.089666
22:00,0.078334,0.078334
23:00,0.064,0.064
0:00,0.051333,0.051333
1:00,0.062333,0.062333
2:00,0.051667,0.051667
3:00,0.059,0.059
4:00,0.150333,0.150333
5:00,0.11,0.11
6:00,0.080334,0.080334
7:00,0.090333,0.090333
8:00,0.071333,0.071333
9:00,0.068667,0.068667
10:00,0.069667,0.069667
11:00,0.072333,0.072333
12:00,0.070333,0.070333
13:00,0.072,0.072
14:00,0.070667,0.070667
15:00,0.071,0.071
16:00,0.065333,0.065333
17:00,0.101667,0.101667
18:00,0.107667,0.107667
19:00,0.129333,0.129333
20:00,0.126,0.126
21:00,0.131667,0.131667
22:00,0.081333,0.081333
23:00,0.062,0.062
0:00,0.054667,0.054667
1:00,0.059666,0.059666
2:00,0.049667,0.049667
3:00,0.064,0.064
4:00,0.135667,0.135667
5:00,0.125,0.125
6:00,0.087,0.087
7:00,0.104666,0.104666
8:00,0.084,0.084
9:00,0.081334,0.081334
10:00,0.082333,0.082333
11:00,0.077,0.077
12:00,0.084,0.084
13:00,0.080667,0.080667
14:00,0.080333,0.080333
15:00,0.084333,0.084333
16:00,0.076667,0.076667
17:00,0.361,0.361
18:00,0.118667,0.118667
19:00,0.112,0.112
20:00,0.13,0.13
21:00,0.138666,0.138666
22:00,0.105334,0.105334
23:00,0.074666,0.074666
0:00,0.071667,0.071667
1:00,0.053,0.053
2:00,0.061,0.061
3:00,0.06,0.06
4:00,0.132,0.132
5:00,0.12,0.12
6:00,0.106333,0.106333
7:00,0.071667,0.071667
8:00,0.072333,0.072333
9:00,0.069,0.069
10:00,0.077334,0.077334
11:00,0.066,0.066
12:00,0.079,0.079
13:00,0.079666,0.079666
14:00,0.072334,0.072334
15:00,0.105333,0.105333
16:00,0.098333,0.098333
17:00,0.255667,0.255667
18:00,0.612667,0.612667
19:00,0.246,0.246
20:00,0.122,0.122
21:00,0.076666,0.076666
22:00,0.06,0.06
23:00,0.066,0.066
0:00,0.067667,0.067667
1:00,0.055667,0.055667
2:00,0.066,0.066
3:00,0.064666,0.064666
4:00,0.13,0.13
5:00,0.118334,0.118334
6:00,0.092,0.092
7:00,0.116333,0.116333
8:00,0.088667,0.088667
9:00,0.084,0.084
10:00,0.076333,0.076333
11:00,0.072,0.072
12:00,0.068333,0.068333
13:00,0.080667,0.080667
14:00,0.075,0.075
15:00,0.074333,0.074333
16:00,0.067667,0.067667
17:00,0.12,0.12
18:00,0.111667,0.111667
19:00,0.108333,0.108333
20:00,0.112,0.112
21:00,0.058,0.058
22:00,0.050333,0.050333
23:00,0.059334,0.059334
0:00,0.062333,0.062333
1:00,0.054667,0.054667
2:00,0.057,0.057
3:00,0.054666,0.054666
4:00,0.058334,0.058334
5:00,0.053333,0.053333
6:00,0.052667,0.052667
7:00,0.055333,0.055333
8:00,0.074333,0.074333
9:00,0.164334,0.164334
10:00,0.137333,0.137333
11:00,0.157333,0.157333
12:00,0.149,0.149
13:00,0.108667,0.108667
14:00,0.091667,0.091667
15:00,0.083,0.083
16:00,0.070333,0.070333
17:00,0.079667,0.079667
18:00,0.075333,0.075333
19:00,0.078667,0.078667
20:00,0.075,0.075
21:00,0.076666,0.076666
22:00,0.074667,0.074667
23:00,0.073333,0.073333
0:00,0.094667,0.094667
1:00,0.050667,0.050667
2:00,0.056333,0.056333
3:00,0.057667,0.057667
4:00,0.051,0.051
5:00,0.053,0.053
6:00,0.054666,0.054666
7:00,0.058667,0.058667
8:00,0.074667,0.074667
9:00,0.054,0.054
10:00,0.054333,0.054333
11:00,0.051,0.051
12:00,0.093,0.093
13:00,0.116667,0.116667
14:00,0.114333,0.114333
15:00,0.106,0.106
16:00,0.112667,0.112667
17:00,0.115666,0.115666
18:00,0.116334,0.116334
19:00,0.159333,0.159333
20:00,0.117333,0.117333
21:00,0.086334,0.086334
22:00,0.052333,0.052333
23:00,0.051,0.051
0:00,0.055667,0.055667
1:00,0.052333,0.052333
2:00,0.050333,0.050333
3:00,0.055,0.055
4:00,0.054334,0.054334
5:00,0.053,0.053
6:00,0.125,0.125
7:00,0.119333,0.119333
8:00,0.123333,0.123333
9:00,0.115334,0.115334
10:00,0.146,0.146
11:00,0.112,0.112
12:00,0.098333,0.098333
13:00,0.119,0.119
14:00,0.113333,0.113333
15:00,0.115667,0.115667
16:00,0.116333,0.116333
17:00,0.138,0.138
18:00,0.217667,0.217667
19:00,0.126,0.126
20:00,0.124,0.124
21:00,0.076667,0.076667
22:00,0.070666,0.070666
23:00,0.058667,0.058667
0:00,0.054333,0.054333
1:00,0.050667,0.050667
2:00,0.053,0.053
3:00,0.054333,0.054333
4:00,0.121334,0.121334
5:00,0.106,0.106
6:00,0.073333,0.073333
7:00,0.076,0.076
8:00,0.070333,0.070333
9:00,0.067667,0.067667
10:00,0.066667,0.066667
11:00,0.071,0.071
12:00,0.071,0.071
13:00,0.065666,0.065666
14:00,0.067334,0.067334
15:00,0.071333,0.071333
16:00,0.068667,0.068667
17:00,0.077333,0.077333
18:00,0.101,0.101
19:00,0.1,0.1
20:00,0.126333,0.126333
21:00,0.099,0.099
22:00,0.056667,0.056667
23:00,0.061667,0.061667
0:00,0.057,0.057
1:00,0.050666,0.050666
2:00,0.051334,0.051334
3:00,0.053666,0.053666
4:00,0.126334,0.126334
5:00,0.100666,0.100666
6:00,0.095,0.095
7:00,0.090334,0.090334
8:00,0.064,0.064
9:00,0.065333,0.065333
10:00,0.064667,0.064667
11:00,0.060666,0.060666
12:00,0.064667,0.064667
13:00,0.065,0.065
14:00,0.063333,0.063333
15:00,0.060334,0.060334
16:00,0.061,0.061
17:00,0.364,0.364
18:00,0.562666,0.562666
19:00,0.109667,0.109667
20:00,0.107333,0.107333
21:00,0.119334,0.119334
22:00,0.105666,0.105666
23:00,0.060667,0.060667
0:00,0.061333,0.061333
1:00,0.059334,0.059334
2:00,0.054333,0.054333
3:00,0.048667,0.048667
4:00,0.125,0.125
5:00,0.103666,0.103666
6:00,0.085334,0.085334
7:00,0.092,0.092
8:00,0.100333,0.100333
9:00,0.109333,0.109333
10:00,0.094334,0.094334
11:00,0.088333,0.088333
12:00,0.086,0.086
13:00,0.089,0.089
14:00,0.09,0.09
15:00,0.085,0.085
16:00,0.086333,0.086333
17:00,0.165,0.165
18:00,0.109667,0.109667
19:00,0.1,0.1
20:00,0.110667,0.110667
21:00,0.063,0.063
22:00,0.051666,0.051666
23:00,0.069,0.069
0:00,0.060334,0.060334
1:00,0.051333,0.051333
2:00,0.054,0.054
3:00,0.053,0.053
4:00,0.098333,0.098333
5:00,0.11,0.11
6:00,0.085667,0.085667
7:00,0.090333,0.090333
8:00,0.126667,0.126667
9:00,0.084667,0.084667
10:00,0.090333,0.090333
11:00,0.089,0.089
12:00,0.084667,0.084667
13:00,0.085333,0.085333
14:00,0.088333,0.088333
15:00,0.089334,0.089334
16:00,0.085,0.085
17:00,0.111333,0.111333
18:00,0.076667,0.076667
19:00,0.055,0.055
20:00,0.052,0.052
21:00,0.055333,0.055333
22:00,0.056,0.056
23:00,0.066667,0.066667
0:00,0.064,0.064
1:00,0.058333,0.058333
2:00,0.054333,0.054333
3:00,0.052667,0.052667
4:00,0.103,0.103
5:00,0.113333,0.113333
6:00,0.088667,0.088667
7:00,0.097333,0.097333
8:00,0.174334,0.174334
9:00,0.107666,0.107666
10:00,0.107,0.107
11:00,0.091,0.091
12:00,0.1,0.1
13:00,0.097,0.097
14:00,0.103,0.103
15:00,0.096667,0.096667
16:00,0.093667,0.093667
17:00,0.110333,0.110333
18:00,0.139667,0.139667
19:00,0.237666,0.237666
20:00,0.116,0.116
21:00,0.059,0.059
22:00,0.06,0.06
23:00,0.056667,0.056667
0:00,0.051333,0.051333
1:00,0.051334,0.051334
2:00,0.056333,0.056333
3:00,0.053667,0.053667
4:00,0.051,0.051
5:00,0.056333,0.056333
6:00,0.066,0.066
7:00,0.174,0.174
8:00,0.173,0.173
9:00,0.125667,0.125667
10:00,0.107666,0.107666
11:00,0.121,0.121
12:00,0.113,0.113
13:00,0.087,0.087
14:00,0.062667,0.062667
15:00,0.115,0.115
16:00,0.119,0.119
17:00,0.118333,0.118333
18:00,0.195667,0.195667
19:00,0.391,0.391
20:00,0.123,0.123
21:00,0.120333,0.120333
22:00,0.113,0.113
23:00,0.102334,0.102334
0:00,0.068333,0.068333
1:00,0.059,0.059
2:00,0.06,0.06
3:00,0.058333,0.058333
4:00,0.142,0.142
5:00,0.113334,0.113334
6:00,0.117333,0.117333
7:00,0.112,0.112
8:00,0.163333,0.163333
9:00,0.228667,0.228667
10:00,0.115,0.115
11:00,0.109,0.109
12:00,0.106333,0.106333
13:00,0.105,0.105
14:00,0.101667,0.101667
15:00,0.108333,0.108333
16:00,0.134,0.134
17:00,0.119667,0.119667
18:00,0.121667,0.121667
19:00,0.088333,0.088333
20:00,0.075667,0.075667
21:00,0.075333,0.075333
22:00,0.064333,0.064333
23:00,0.063334,0.063334
